"","date","hours","low","high","volume","fluctuation"
"528","2021-03-07","23~24",57465455,58037042,20073646514,18.4217998404654
"541","2021-03-09","1~2",58080904,58435588,46404991383,8.3601272531465
"542","2021-03-09","3~4",58186301,58559949,15804497806,8.80712078324279
"543","2021-03-09","5~6",58632062,59279225,30000693465,15.2540431300201
"544","2021-03-09","7~8",58930677,59488441,23643516946,13.146851894148
"545","2021-03-09","9~10",59395813,60738961,45083825280,31.6588518224933
"546","2021-03-09","11~12",60852458,61458446,35656810454,14.2835222166203
"547","2021-03-09","13~14",61226553,61846142,66096086021,14.6041064289615
"548","2021-03-09","15~16",60932880,61672493,33333184007,17.4331483745572
"549","2021-03-09","17~18",61073558,61635150,23661566384,13.2370802865341
"550","2021-03-09","19~20",61310777,61757989,23043308075,10.5410710072463
"551","2021-03-09","21~22",61314595,62038474,24844633650,17.062287996866
"552","2021-03-09","23~24",61858392,62323471,24076636764,10.9622075502874
"553","2021-03-10","1~2",61573498,61993808,16896763735,12.7479505343973
"554","2021-03-10","3~4",61516051,61863666,11898181526,10.5431201375521
"555","2021-03-10","5~6",61785944,62287000,15262660380,15.196966769677
"556","2021-03-10","7~8",62349020,62820073,23281286840,14.2869794748624
"557","2021-03-10","9~10",62593120,63717599,38348557779,34.1053095785694
"558","2021-03-10","11~12",61130472,62421408,38754587474,39.1539298876369
"559","2021-03-10","13~14",61375489,61965106,20757030765,17.8830109924573
"560","2021-03-10","15~16",61989049,62557532,20953309647,17.2420193753319
"561","2021-03-10","17~18",62503200,63367312,25111480491,26.2084105355073
"562","2021-03-10","19~20",62783073,63263060,19393069543,14.5579465945463
"563","2021-03-10","21~22",63108584,63968469,33076429625,26.0802061461069
"564","2021-03-10","23~24",63833096,64427551,31285278530,18.0297469366066
"589","2021-03-13","1~2",65488592,66211605,29943223095,17.9891882692697
"590","2021-03-13","3~4",66100411,66618138,18597195487,12.881495180701
"591","2021-03-13","5~6",65802767,66281395,14919620175,11.9086782712676
"592","2021-03-13","7~8",65970496,66573509,18841040666,15.0034845650315
"593","2021-03-13","9~10",66140379,66621930,22401436213,11.98140503733
"594","2021-03-13","11~12",65467204,65918810,20758907618,11.2363475588016
"595","2021-03-13","13~14",65444562,65862774,18016015401,10.4054759796405
"596","2021-03-13","15~16",65448999,65876908,13195274822,10.6467457198071
"597","2021-03-13","17~18",65624572,66090823,17320134041,11.6007278150396
"598","2021-03-13","19~20",65909611,67544860,38233323572,40.6864083054315
"599","2021-03-13","21~22",68509343,69463715,37216536505,23.7456001301767
"600","2021-03-13","23~24",68665401,69145378,22876434696,11.9422425570761
